ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
29527,Kagee Mukashibanashi,影絵むかし話,Unknown,The 1st arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Japanese fairy tale told with shadow puppet animation. ,TV,65.0,Finished Airing,1976,1979,TBS,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology, Samurai",Kids,15.0,G - All Ages,,,189072.0,15503,334,0,1976.0
29529,Kagee Aesop Monogatari,影絵イソップ物語,Unknown,The 2nd arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Aesop fable told with shadow puppet animation. ,TV,26.0,Finished Airing,1978,Not Available,TBS,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology",Kids,15.0,G - All Ages,,,189042.0,15674,320,0,1978.0
25607,Sekai no Fushigi Tanken Series,世界の不思議・探検シリーズ,Unknown,"Documentaries combining anime with live action, exploring a mixed bag of mysteries and historical topics, including the statues of Easter Island, the search for a lost continent, the Bermuda Triangle, the NAZCA Lines, the Sphinx and the Pyramids, the Greenwich Meridian, the Leaning Tower of Pisa, and the Great Buddha of Nara. Confusing in its inability to decide whether it wants to be history, geography, travelogue, or the titular ""mysteries.""

(Source: The Anime Encyclopedia)",TV,10.0,Finished Airing,1978,Not Available,Unknown,Unknown,Unknown,Unknown,"Adventure, Fantasy",Historical,Unknown,25.0,G - All Ages,,,147632.0,17905,177,0,1978.0
10236,Kagee Grimm Douwa,影絵グリム童話,Unknown,The 3rd arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Brothers Grimm fairy tale told with shadow puppet animation.,TV,52.0,Finished Airing,1980,1981,Unknown,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology",Kids,15.0,G - All Ages,,,189062.0,15235,356,0,1980.0
25059,"Nikoniko, Pun",にこにこ、ぷん,Unknown,"Anime spin-off from a children's show that featured out-of-work actors dressed up as a giant mouse, penguin, and lion, itself part of the Japanese ""Watch with Mother"" TV strip for the preschool audience.

(Source: The Anime Encyclopedia)",TV,40.0,Finished Airing,1988,Not Available,"NHK, Oh! Production",Unknown,Unknown,Unknown,"Comedy, Fantasy",Unknown,Kids,9.0,G - All Ages,,,138632.0,17117,224,2,1988.0
43948,Taiyang Zhizi,太阳之子,Unknown,Unknown,TV,52.0,Finished Airing,1992,Unknown,Unknown,Unknown,Unknown,Unknown,"Adventure, Fantasy, Sci-Fi",Anthropomorphic,Kids,12.0,PG - Children,,,153912.0,21143,28,0,1992.0
43947,Hahajing Hua Yuan,哈哈镜花缘,Unknown,Unknown,TV,13.0,Finished Airing,1994,Not Available,Unknown,Unknown,Unknown,Novel,"Comedy, Fantasy",Historical,Kids,22.0,G - All Ages,,,181912.0,21124,28,0,1994.0
43831,Da Senlin Li De Xiao Gushi,大森林里的小故事,Unknown,Unknown,TV,11.0,Finished Airing,1995,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Fantasy,Anthropomorphic,Kids,5.0,PG - Children,,,175182.0,20793,33,0,1995.0
43843,Renshen Wangguo,人参王国,Unknown,Unknown,TV,52.0,Finished Airing,1997,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Fantasy,Unknown,Kids,12.0,G - All Ages,,,145272.0,20992,30,0,1997.0
44653,Lizi Gou He Xiangjiao Hu,栗子狗和香蕉狐,Unknown,Unknown,TV,20.0,Finished Airing,1999,Not Available,Unknown,Unknown,Unknown,Original,Fantasy,Anthropomorphic,Kids,12.0,PG - Children,,,131352.0,21201,27,0,1999.0
43860,Hong Haier Chuanqi,红孩儿传奇,Unknown,The story is about the adventures of Red Boy,TV,26.0,Finished Airing,2001,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Other,"Adventure, Fantasy",Anthropomorphic,Kids,21.0,PG - Children,,,184452.0,21208,26,0,2001.0
44679,Mimi Jihua,蜜蜜计划,Unknown,Unknown,TV,104.0,Finished Airing,2002,Unknown,Unknown,Unknown,Unknown,Original,"Comedy, Fantasy",Unknown,Unknown,10.0,PG - Children,,,134582.0,21112,29,0,2002.0
43871,Mogui Xinpian,魔鬼芯片,Unknown,Unknown,TV,26.0,Finished Airing,2002,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Novel,"Adventure, Fantasy, Sci-Fi",Unknown,Kids,22.0,PG - Children,,,135522.0,20889,31,0,2002.0
43865,Feilong Tian Jiang,飞龙天降,Unknown,Unknown,TV,13.0,Finished Airing,2002,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Fantasy,Anthropomorphic,Kids,22.0,PG - Children,,,178492.0,21087,29,0,2002.0
43891,Zhonghua Meide,中华美德,Unknown,Unknown,TV,99.0,Finished Airing,2004,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Other,"Adventure, Fantasy",Unknown,Kids,12.0,PG - Children,,,166022.0,21184,27,0,2004.0
46046,Yuxi Chuanqi,玉玺传奇,Unknown,Unknown,TV,26.0,Finished Airing,2005,Unknown,Unknown,Unknown,Unknown,Unknown,"Comedy, Fantasy",Historical,Kids,11.0,PG - Children,,,165162.0,21422,21,0,2005.0
46039,Leyuan Shuang Bao,乐园双宝,Unknown,Unknown,TV,26.0,Finished Airing,2005,Unknown,Unknown,Unknown,Unknown,Unknown,Fantasy,Anthropomorphic,Kids,12.0,PG - Children,,,195332.0,21354,22,0,2005.0
45371,Tianyan Xiao Shentong,天眼小神童,"Magic Eye, The Wonder Boy",Unknown,TV,500.0,Finished Airing,2005,Unknown,Unknown,Unknown,Unknown,Original,Fantasy,School,Kids,8.0,PG - Children,,,155772.0,20534,39,0,2005.0
