ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
29527,Kagee Mukashibanashi,影絵むかし話,Unknown,The 1st arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Japanese fairy tale told with shadow puppet animation. ,TV,65.0,Finished Airing,1976,1979,TBS,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology, Samurai",Kids,15.0,G - All Ages,,,189072.0,15503,334,0,1976.0
18007,Dalam-iwa Goseumdochi,다람이와 고슴도치,Brave Soldier,"Squirrel and Hedgehog documents various animal communities warring and in conflict against one another, each animal being a symbolic representation of real life countries and sometimes political events.

A North Korean propaganda anime that was developed and produced in North Korea to be aired on state television.",TV,32.0,Finished Airing,1977,"Jun 6, 2012",SEK Studios,Unknown,Unknown,Unknown,Unknown,"Historical, Military",Unknown,20.0,R - 17+ (violence & profanity),,,175492.0,13557,573,3,1977.0
29529,Kagee Aesop Monogatari,影絵イソップ物語,Unknown,The 2nd arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Aesop fable told with shadow puppet animation. ,TV,26.0,Finished Airing,1978,Not Available,TBS,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology",Kids,15.0,G - All Ages,,,189042.0,15674,320,0,1978.0
25607,Sekai no Fushigi Tanken Series,世界の不思議・探検シリーズ,Unknown,"Documentaries combining anime with live action, exploring a mixed bag of mysteries and historical topics, including the statues of Easter Island, the search for a lost continent, the Bermuda Triangle, the NAZCA Lines, the Sphinx and the Pyramids, the Greenwich Meridian, the Leaning Tower of Pisa, and the Great Buddha of Nara. Confusing in its inability to decide whether it wants to be history, geography, travelogue, or the titular ""mysteries.""

(Source: The Anime Encyclopedia)",TV,10.0,Finished Airing,1978,Not Available,Unknown,Unknown,Unknown,Unknown,"Adventure, Fantasy",Historical,Unknown,25.0,G - All Ages,,,147632.0,17905,177,0,1978.0
10236,Kagee Grimm Douwa,影絵グリム童話,Unknown,The 3rd arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Brothers Grimm fairy tale told with shadow puppet animation.,TV,52.0,Finished Airing,1980,1981,Unknown,Unknown,Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural","Historical, Mythology",Kids,15.0,G - All Ages,,,189062.0,15235,356,0,1980.0
39634,Boy General,소년장수,Boy General,"The brave young warrior Seo-Me defeats the SeoGuk invaders. After defeating Hobi, Seo-Me and his comrades return home. Meanwhile Hobi survived after falling and some people rescued him out.",TV,50.0,Finished Airing,1982,1997,Unknown,Unknown,SEK Studios,Unknown,"Action, Drama","Historical, Military",Unknown,20.0,G - All Ages,,,171692.0,18730,128,0,1982.0
9868,Chengyu Donghua Lang,成語動畫廊,Unknown,A Hong-Kong animation that teaches Chinese idioms.,TV,180.0,Finished Airing,1987,1988,Jade Animation,Unknown,Unknown,Unknown,Unknown,Historical,Kids,3.0,PG - Children,,,173102.0,15327,348,2,1987.0
43947,Hahajing Hua Yuan,哈哈镜花缘,Unknown,Unknown,TV,13.0,Finished Airing,1994,Not Available,Unknown,Unknown,Unknown,Novel,"Comedy, Fantasy",Historical,Kids,22.0,G - All Ages,,,181912.0,21124,28,0,1994.0
43677,Zigu Yingxiong Chu Shaonian,自古英雄出少年,Unknown,Unknown,TV,101.0,Finished Airing,1995,1996,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Historical,Kids,5.0,G - All Ages,,,166482.0,20219,48,0,1995.0
43859,Fengchen Xiao Youxia,风尘小游侠,Unknown,Unknown,TV,26.0,Finished Airing,2001,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Other,Adventure,Historical,Kids,22.0,PG - Children,,,178592.0,21185,27,0,2001.0
